cohort,sample,orig_blk_mean,orig_blk_std,match_blk_mean,match_blk_std,A_orig_ctplans_recall,A_orig_ctplans_precision,A_orig_ctplans_ppf,B_orig_instzs_recall,B_orig_instzs_precision,B_orig_instzs_ppf,C_match_ctplans_recall,C_match_ctplans_precision,C_match_ctplans_ppf,D_match_instzs_recall,D_match_instzs_precision,D_match_instzs_ppf,E_affine_ctplans_recall,E_affine_ctplans_precision,E_affine_ctplans_ppf,F_affine_instzs_recall,F_affine_instzs_precision,F_affine_instzs_ppf,dAC_recall,dBD_recall,confound_recall
nonlocated60,sample_00830,106.198787,26.356977,,,0.853111,0.622879,0.187191,0.854117,0.608354,0.191886,,,,,,,,,,,,,,,
nonlocated60,sample_00847,99.572262,31.043070,,,0.396948,0.311973,0.225329,0.399741,0.312773,0.226334,,,,,,,,,,,,,,,
nonlocated60,sample_00880,62.128781,40.038929,,,0.405383,0.314812,0.120186,0.415907,0.321315,0.120811,,,,,,,,,,,,,,,
nonlocated60,sample_00899,66.966739,42.481512,,,0.884665,0.738426,0.099363,0.884570,0.737851,0.099429,,,,,,,,,,,,,,,
nonlocated60,sample_00909,65.608641,41.883601,,,0.829084,0.661330,0.090594,0.824491,0.648751,0.091839,,,,,,,,,,,,,,,
nonlocated60,sample_00914,65.136978,38.942672,,,0.762421,0.580224,0.108794,0.759114,0.576866,0.108952,,,,,,,,,,,,,,,
located16_patchnorm,sample_00161,133.346887,40.486018,75.757932,40.740866,0.942527,0.753680,0.280124,0.700467,0.514524,0.304948,0.567860,0.426274,0.298398,0.571869,0.427243,0.299823,,,,,,,-0.374667,-0.128598,0.246069
located16_patchnorm,sample_00162,128.316664,45.117269,74.856576,41.087819,0.924153,0.746578,0.217444,0.704296,0.396533,0.311999,0.781781,0.439813,0.312244,0.760387,0.429003,0.311352,,,,,,,-0.142372,0.056092,0.198463
located16_patchnorm,sample_00163,131.323291,38.167151,74.727157,40.902565,0.952105,0.749942,0.252560,0.733079,0.444245,0.328274,0.717284,0.438880,0.325127,0.721058,0.440671,0.325509,,,,,,,-0.234820,-0.012021,0.222799
located16_patchnorm,sample_00164,128.961281,38.885823,74.720688,40.633097,0.951082,0.729885,0.186014,0.765284,0.419188,0.260613,0.768017,0.406886,0.269451,0.773559,0.409216,0.269850,,,,,,,-0.183065,0.008275,0.191340
located16_patchnorm,sample_00165,135.221548,35.314711,73.266214,40.369421,0.959633,0.730341,0.244696,0.813119,0.569899,0.265707,0.749783,0.493030,0.283210,0.758137,0.501628,0.281458,,,,,,,-0.209851,-0.054981,0.154869
located16_patchnorm,sample_00166,133.990374,38.709036,74.508236,40.739682,0.943815,0.758439,0.251880,0.863908,0.609240,0.287016,0.699157,0.489856,0.288890,0.717123,0.502172,0.289046,,,,,,,-0.244658,-0.146786,0.097872
located16_patchnorm,sample_00167,132.061000,44.469588,74.783289,41.640006,0.939180,0.808812,0.268535,0.872395,0.623026,0.323822,0.764076,0.552803,0.319643,0.766357,0.554036,0.319884,,,,,,,-0.175104,-0.106038,0.069066
located16_patchnorm,sample_00168,119.298728,53.483421,74.462367,41.405586,0.935976,0.794267,0.177613,0.827677,0.560285,0.222653,0.614803,0.396600,0.233647,0.809947,0.453416,0.269238,,,,,,,-0.321173,-0.017730,0.303444
located16_patchnorm,sample_00169,116.840342,47.385653,74.525005,41.118538,0.937285,0.750962,0.064639,0.690432,0.358760,0.099669,0.521816,0.348724,0.077496,0.792232,0.379412,0.108139,,,,,,,-0.415469,0.101800,0.517269
located16_patchnorm,sample_00170,115.399369,43.585593,73.664466,40.115414,0.931923,0.750389,0.147457,0.821029,0.390404,0.249698,0.739520,0.431793,0.203350,0.831371,0.429880,0.229625,,,,,,,-0.192403,0.010342,0.202745
located16_patchnorm,sample_00172,139.347322,30.116489,74.464352,40.268907,0.881766,0.611059,0.276304,0.792974,0.466860,0.325228,0.601541,0.380578,0.302649,0.606078,0.383794,0.302375,,,,,,,-0.280225,-0.186896,0.093328
located16_patchnorm,sample_00173,131.770121,36.242149,73.165876,41.684751,0.919815,0.615812,0.213283,0.720557,0.393091,0.261745,0.584209,0.328725,0.253769,0.592411,0.331537,0.255149,,,,,,,-0.335605,-0.128146,0.207460
located16_patchnorm,sample_00174,134.033808,36.183191,73.092627,41.138756,0.902831,0.694085,0.207435,0.664809,0.402916,0.263130,0.612278,0.351838,0.277520,0.605332,0.349029,0.276579,,,,,,,-0.290553,-0.059478,0.231075
located16_patchnorm,sample_00175,134.564990,33.690302,73.620772,41.249933,0.899507,0.656438,0.264658,0.812178,0.443647,0.353581,0.646508,0.330385,0.377944,0.654553,0.337835,0.374210,,,,,,,-0.252999,-0.157625,0.095374
located16_patchnorm,sample_00177,135.162979,34.686349,73.728801,41.697608,0.877442,0.570332,0.294205,0.710594,0.405546,0.335074,0.582288,0.354356,0.314236,0.606373,0.355300,0.326364,,,,,,,-0.295154,-0.104221,0.190933
located16_patchnorm,sample_00178,134.488954,33.844936,74.790984,40.896256,0.856690,0.597697,0.236700,0.749511,0.439995,0.281310,0.741876,0.441555,0.277461,0.744238,0.441067,0.278652,,,,,,,-0.114814,-0.005272,0.109541
